type_school,school_accreditation,gender,interest,residence,parent_age,parent_salary,house_area,average_grades,parent_was_in_college,in_college
Vocational,A,Female,Quiet Interested,Urban,47,6410000,20,81.46,FALSE,FALSE
Vocational,A,Male,Very Interested,Urban,59,3800000,66.6,82.98,FALSE,FALSE
Academic,A,Male,Quiet Interested,Urban,60,3860000,70.5,84.83,FALSE,FALSE
Academic,A,Female,Very Interested,Urban,56,3390000,80.5,84.04,FALSE,FALSE
Academic,B,Male,Less Interested,Rural,47,5100000,40.6,82.32,TRUE,FALSE
Vocational,A,Female,Uncertain,Rural,50,6920000,91.5,90.79,TRUE,TRUE
Academic,B,Female,Very Interested,Urban,55,2920000,67,82.93,TRUE,FALSE
Academic,B,Male,Less Interested,Rural,46,4010000,58.5,84.11,TRUE,FALSE
Academic,A,Female,Very Interested,Urban,53,4510000,66.7,87.71,FALSE,FALSE
Vocational,A,Male,Less Interested,Rural,48,5750000,66.9,82.11,FALSE,FALSE
Academic,B,Female,Very Interested,Urban,54,5250000,69.6,84.81,TRUE,TRUE
Vocational,A,Male,Very Interested,Urban,53,4360000,75.2,83.29,FALSE,FALSE
Vocational,A,Female,Very Interested,Rural,51,5940000,62.8,82.23,FALSE,FALSE
Academic,B,Female,Less Interested,Urban,52,3640000,59.4,84.59,TRUE,FALSE
Vocational,B,Male,Quiet Interested,Urban,58,5060000,48.4,86.75,FALSE,FALSE
Academic,B,Female,Very Interested,Urban,54,5560000,79.9,83.41,TRUE,TRUE
Academic,A,Male,Uncertain,Rural,54,8650000,76.7,90.03,TRUE,TRUE
Academic,B,Female,Less Interested,Rural,40,3810000,44.7,81,TRUE,FALSE
Vocational,B,Male,Uncertain,Rural,52,6450000,65.1,86.14,TRUE,FALSE
Academic,A,Male,Not Interested,Rural,53,5810000,107.1,88.37,TRUE,TRUE
Academic,B,Female,Uncertain,Rural,50,6250000,79.9,90.96,TRUE,TRUE
Vocational,A,Female,Uncertain,Urban,52,4740000,76,79.11,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,52,3260000,57.1,80.26,FALSE,FALSE
Academic,A,Male,Less Interested,Urban,50,4660000,51.1,85.87,FALSE,FALSE
Vocational,A,Male,Very Interested,Rural,51,5140000,67.6,83.26,FALSE,FALSE
Vocational,B,Male,Uncertain,Rural,52,6230000,84.4,86.39,TRUE,FALSE
Academic,B,Male,Less Interested,Urban,46,3800000,57.4,84.84,TRUE,FALSE
Academic,B,Female,Uncertain,Rural,51,5630000,93.5,85.19,TRUE,TRUE
Academic,B,Female,Very Interested,Urban,55,6340000,91.6,90.95,FALSE,TRUE
Academic,A,Male,Less Interested,Urban,51,4860000,54.3,84.33,FALSE,FALSE
Academic,B,Female,Very Interested,Urban,54,7570000,71.3,88.33,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,51,5950000,86.2,88.76,TRUE,TRUE
Vocational,A,Female,Not Interested,Urban,52,5240000,60.2,91.2,TRUE,TRUE
Vocational,B,Female,Not Interested,Rural,52,5480000,56.1,90.51,TRUE,TRUE
Vocational,B,Female,Very Interested,Rural,43,6800000,76.2,82.62,TRUE,FALSE
Academic,B,Male,Less Interested,Urban,55,6490000,72.5,84.22,FALSE,FALSE
Academic,A,Female,Less Interested,Urban,47,4600000,52.7,83.92,TRUE,FALSE
Academic,B,Female,Very Interested,Rural,52,5500000,97.7,85.13,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,57,6690000,89.8,89.87,FALSE,TRUE
Academic,B,Male,Uncertain,Rural,52,5090000,96.2,82.28,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,46,3470000,61.2,83.73,TRUE,FALSE
Academic,A,Female,Less Interested,Urban,50,6840000,53.5,81.78,FALSE,FALSE
Vocational,B,Male,Less Interested,Rural,48,4640000,51.7,85.14,TRUE,FALSE
Academic,A,Female,Uncertain,Urban,50,5580000,62.4,89.9,FALSE,TRUE
Vocational,B,Female,Uncertain,Rural,49,6740000,81.5,89.87,TRUE,FALSE
Academic,A,Female,Uncertain,Rural,52,6450000,82.3,88.27,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,43,3800000,48.5,79.1,TRUE,FALSE
Vocational,A,Female,Very Interested,Rural,50,6400000,81.3,85.36,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,50,4640000,50.8,83.92,FALSE,FALSE
Academic,A,Female,Less Interested,Rural,46,5570000,35.2,82.31,FALSE,FALSE
Academic,B,Male,Not Interested,Urban,56,6090000,75.8,85.13,FALSE,TRUE
Academic,B,Female,Less Interested,Urban,57,3070000,75.8,85.02,FALSE,FALSE
Academic,A,Male,Less Interested,Urban,57,3370000,71.6,84.67,FALSE,FALSE
Academic,B,Male,Less Interested,Urban,59,5170000,83.4,87.65,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,54,5920000,88.2,83.23,FALSE,TRUE
Academic,A,Male,Very Interested,Urban,51,7320000,77.6,86.81,FALSE,TRUE
Academic,A,Male,Less Interested,Urban,51,6670000,71.6,85.12,FALSE,FALSE
Academic,A,Male,Uncertain,Urban,55,2450000,86.4,85.18,FALSE,FALSE
Vocational,B,Female,Not Interested,Rural,50,4740000,96.9,84.93,TRUE,FALSE
Vocational,B,Female,Quiet Interested,Urban,53,5370000,38.1,82.5,FALSE,FALSE
Academic,A,Female,Very Interested,Urban,54,4590000,79.5,89.54,FALSE,TRUE
Academic,B,Male,Very Interested,Rural,51,7310000,90.8,91.89,TRUE,TRUE
Academic,A,Female,Less Interested,Urban,53,3890000,56.7,83.25,FALSE,FALSE
Academic,B,Female,Very Interested,Rural,50,3440000,76.4,88.65,TRUE,FALSE
Academic,B,Male,Not Interested,Urban,55,5010000,86.3,82.13,FALSE,TRUE
Academic,B,Male,Less Interested,Urban,53,3460000,71.8,84.48,TRUE,FALSE
Academic,B,Male,Very Interested,Rural,52,6370000,89.4,85.48,TRUE,TRUE
Academic,B,Female,Very Interested,Urban,55,5770000,74.3,84.29,FALSE,FALSE
Academic,A,Female,Not Interested,Urban,59,4390000,115.7,87.16,FALSE,TRUE
Vocational,A,Female,Less Interested,Rural,49,6900000,68.4,86.93,TRUE,TRUE
Vocational,B,Male,Not Interested,Rural,55,3030000,103.4,89.26,TRUE,FALSE
Academic,B,Male,Uncertain,Rural,51,7120000,105.9,88.74,TRUE,TRUE
Academic,B,Male,Very Interested,Urban,58,5280000,78,85.84,FALSE,TRUE
Vocational,A,Female,Uncertain,Urban,48,5870000,56.5,82.11,FALSE,FALSE
Academic,B,Female,Less Interested,Urban,50,3540000,58.8,82.63,TRUE,FALSE
Academic,B,Female,Very Interested,Rural,49,3340000,64.3,83.59,TRUE,FALSE
Academic,A,Male,Quiet Interested,Urban,58,5520000,64,80.75,FALSE,FALSE
Vocational,B,Female,Very Interested,Rural,51,5010000,78.7,84.11,FALSE,FALSE
Vocational,A,Female,Uncertain,Rural,50,6740000,80.4,87.52,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,51,5480000,77.3,90.4,FALSE,TRUE
Academic,A,Male,Uncertain,Rural,43,4160000,63.5,87.68,TRUE,FALSE
Vocational,B,Male,Quiet Interested,Urban,53,4480000,52.5,84.74,TRUE,FALSE
Academic,B,Female,Quiet Interested,Urban,56,3090000,69.4,84.66,FALSE,FALSE
Academic,A,Male,Uncertain,Rural,50,6530000,100.1,87.42,TRUE,TRUE
Academic,A,Male,Quiet Interested,Urban,54,4350000,55.2,85.68,FALSE,FALSE
Vocational,A,Male,Quiet Interested,Rural,47,8380000,81.2,93.07,TRUE,TRUE
Vocational,A,Male,Very Interested,Urban,54,5920000,69.3,84.33,FALSE,TRUE
Vocational,B,Female,Less Interested,Urban,53,6110000,75.6,85.84,TRUE,TRUE
Academic,B,Male,Uncertain,Rural,51,5770000,78,94.06,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,55,4650000,74.9,83.64,FALSE,FALSE
Academic,B,Male,Quiet Interested,Urban,49,5040000,35.7,83.21,FALSE,FALSE
Academic,B,Male,Very Interested,Rural,52,4160000,58.6,81.94,TRUE,FALSE
Vocational,B,Male,Very Interested,Urban,56,6040000,75.6,87.46,TRUE,TRUE
Academic,A,Female,Less Interested,Urban,52,3920000,91.1,91.63,FALSE,TRUE
Academic,B,Female,Less Interested,Urban,58,3020000,81.2,78.92,TRUE,FALSE
Vocational,A,Male,Very Interested,Urban,50,5810000,59.1,82.48,FALSE,FALSE
Vocational,A,Female,Not Interested,Rural,55,4330000,68.5,84.91,FALSE,FALSE
Vocational,B,Male,Not Interested,Rural,53,3680000,85.9,85.63,TRUE,FALSE
Vocational,B,Female,Very Interested,Rural,51,6440000,114.8,86.6,TRUE,TRUE
Vocational,B,Female,Not Interested,Rural,53,6040000,74.9,86.66,TRUE,FALSE
Academic,A,Male,Less Interested,Urban,53,3110000,73.1,84.01,FALSE,FALSE
Vocational,A,Male,Quiet Interested,Urban,50,6610000,62.4,87.01,TRUE,TRUE
Vocational,A,Female,Uncertain,Rural,48,6190000,68,84.57,TRUE,FALSE
Academic,B,Male,Very Interested,Urban,56,3260000,62.1,84.42,FALSE,FALSE
Vocational,B,Male,Uncertain,Rural,55,4660000,82.4,84.77,TRUE,FALSE
Vocational,A,Female,Less Interested,Urban,58,5570000,51.1,85.81,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,57,4420000,60.6,85.23,FALSE,FALSE
Vocational,B,Female,Uncertain,Rural,48,6180000,76,86.11,TRUE,FALSE
Academic,A,Male,Less Interested,Urban,56,5360000,86.3,84.78,FALSE,FALSE
Academic,A,Male,Uncertain,Rural,55,3830000,77.5,86.68,TRUE,FALSE
Academic,A,Male,Quiet Interested,Urban,54,6860000,74.9,84,FALSE,FALSE
Academic,B,Female,Uncertain,Rural,48,4260000,75.9,90.31,TRUE,TRUE
Academic,A,Male,Less Interested,Urban,51,9410000,76.2,83.7,FALSE,TRUE
Academic,B,Female,Less Interested,Rural,44,3280000,62.8,82.58,TRUE,FALSE
Academic,B,Male,Quiet Interested,Urban,57,3740000,63,85.23,FALSE,FALSE
Academic,B,Male,Quiet Interested,Urban,55,4060000,62.2,85.61,TRUE,FALSE
Academic,A,Female,Very Interested,Urban,47,3940000,52.2,83.41,FALSE,FALSE
Academic,A,Female,Less Interested,Urban,53,6690000,91.3,85.33,FALSE,TRUE
Vocational,B,Female,Uncertain,Rural,47,5910000,99.7,86.18,TRUE,FALSE
Academic,A,Male,Less Interested,Urban,54,4180000,64.4,84.04,FALSE,FALSE
Academic,A,Male,Very Interested,Rural,52,5720000,40.6,80.73,TRUE,FALSE
Vocational,A,Male,Uncertain,Rural,53,5540000,96,85.39,TRUE,TRUE
Academic,B,Male,Uncertain,Rural,49,6290000,84.9,91.82,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,59,1790000,90.5,81.65,FALSE,FALSE
Academic,A,Female,Very Interested,Urban,57,2740000,89.8,83.56,FALSE,FALSE
Academic,B,Male,Less Interested,Rural,54,5290000,89.3,84.72,TRUE,FALSE
Academic,B,Female,Uncertain,Rural,47,6650000,94.4,85.79,TRUE,TRUE
Academic,B,Male,Not Interested,Rural,50,4910000,76.2,93.01,TRUE,TRUE
Vocational,B,Female,Uncertain,Rural,47,6610000,87.9,89.52,TRUE,FALSE
Academic,B,Female,Less Interested,Urban,52,4090000,63.1,85.45,TRUE,FALSE
Academic,B,Male,Very Interested,Rural,53,7300000,95.9,89.42,FALSE,TRUE
Vocational,B,Male,Quiet Interested,Rural,51,7220000,82.3,88.19,TRUE,TRUE
Vocational,A,Male,Very Interested,Rural,51,6480000,96.7,88.35,TRUE,TRUE
Academic,B,Female,Uncertain,Rural,51,5040000,91,96.72,TRUE,TRUE
Vocational,A,Male,Very Interested,Urban,53,4530000,67,82.13,FALSE,FALSE
Vocational,A,Male,Very Interested,Urban,49,5530000,57.1,80.05,FALSE,FALSE
Academic,A,Female,Very Interested,Urban,53,8430000,81,84.3,FALSE,TRUE
Academic,B,Male,Very Interested,Rural,52,5810000,87.8,86.72,TRUE,FALSE
Academic,A,Male,Quiet Interested,Urban,51,5340000,46.9,86.66,FALSE,FALSE
Vocational,A,Male,Very Interested,Urban,54,5780000,69.3,85.34,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,52,10000000,87.6,83.67,FALSE,TRUE
Academic,B,Male,Uncertain,Rural,51,6120000,79,89.63,TRUE,TRUE
Academic,A,Female,Quiet Interested,Urban,58,4640000,57,86.6,FALSE,FALSE
Vocational,A,Female,Less Interested,Urban,59,4700000,101.1,84.08,FALSE,TRUE
Vocational,A,Male,Very Interested,Rural,49,6580000,76.7,86.71,TRUE,FALSE
Academic,A,Female,Very Interested,Urban,51,7320000,82.5,86.47,FALSE,TRUE
Vocational,A,Male,Uncertain,Rural,50,6670000,52.8,86.59,TRUE,TRUE
Vocational,A,Male,Very Interested,Rural,50,6020000,94.4,87.2,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,52,1770000,78.1,83.79,FALSE,FALSE
Academic,A,Male,Very Interested,Urban,53,7160000,83.3,87.5,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,51,2820000,64.6,83.18,FALSE,FALSE
Academic,A,Female,Very Interested,Urban,53,6680000,64.6,85.23,FALSE,TRUE
Vocational,A,Female,Less Interested,Rural,46,7790000,67.7,87.27,TRUE,TRUE
Academic,A,Male,Less Interested,Urban,54,8280000,77.7,81.12,FALSE,TRUE
Vocational,B,Male,Quiet Interested,Urban,54,5480000,22.9,80.73,TRUE,FALSE
Vocational,A,Female,Not Interested,Rural,52,4970000,76.4,87.5,TRUE,FALSE
Academic,B,Female,Quiet Interested,Urban,52,4680000,40.8,82.88,FALSE,FALSE
Academic,B,Female,Uncertain,Urban,52,5730000,77,89.97,TRUE,TRUE
Vocational,B,Female,Uncertain,Rural,45,7400000,70.7,84.56,TRUE,FALSE
Academic,B,Female,Less Interested,Urban,52,2940000,80.4,85.5,TRUE,FALSE
Academic,A,Male,Uncertain,Rural,48,4070000,59.4,80.69,FALSE,FALSE
Vocational,B,Female,Uncertain,Rural,55,4850000,73.5,84.12,TRUE,FALSE
Academic,B,Male,Uncertain,Rural,47,7130000,79.3,88.35,TRUE,TRUE
Academic,B,Female,Very Interested,Urban,48,3180000,59.5,81.86,TRUE,FALSE
Academic,A,Female,Uncertain,Rural,49,6200000,74.8,89.14,TRUE,TRUE
Academic,B,Male,Less Interested,Urban,58,4290000,67.3,85.2,TRUE,FALSE
Academic,B,Male,Quiet Interested,Urban,52,3450000,63.7,84.51,FALSE,FALSE
Academic,A,Male,Quiet Interested,Urban,53,4110000,60.2,84.3,FALSE,FALSE
Vocational,B,Male,Quiet Interested,Urban,56,4540000,49.8,84.56,FALSE,FALSE
Vocational,B,Male,Very Interested,Rural,52,6210000,77.2,85.91,TRUE,FALSE
Academic,B,Male,Not Interested,Rural,51,5350000,85.1,83.3,TRUE,TRUE
Academic,B,Female,Not Interested,Rural,48,6090000,74.4,95.81,TRUE,TRUE
Academic,B,Male,Uncertain,Rural,52,5940000,91.7,84.85,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,50,7540000,96.5,91.84,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,54,6310000,60.3,85.89,FALSE,FALSE
Academic,B,Male,Very Interested,Urban,50,7000000,93.1,86.93,FALSE,TRUE
Academic,B,Female,Very Interested,Rural,53,6670000,116.3,90.92,TRUE,TRUE
Academic,B,Male,Not Interested,Rural,46,4810000,76.5,94.28,TRUE,TRUE
Academic,A,Female,Less Interested,Urban,58,4000000,63.3,83.87,FALSE,FALSE
Vocational,B,Female,Uncertain,Rural,46,7460000,62.5,86.86,TRUE,FALSE
Vocational,B,Female,Less Interested,Rural,53,6720000,84.6,89.39,TRUE,TRUE
Vocational,A,Female,Very Interested,Urban,54,6460000,59.8,88.59,FALSE,TRUE
Academic,A,Male,Very Interested,Urban,54,5140000,85.4,86.31,FALSE,FALSE
Vocational,B,Female,Less Interested,Urban,54,4740000,40.9,83.55,TRUE,FALSE
Academic,B,Male,Uncertain,Rural,51,5130000,75.3,94.24,TRUE,TRUE
Academic,B,Male,Uncertain,Urban,54,6210000,80.5,83.99,TRUE,TRUE
Vocational,B,Male,Quiet Interested,Urban,56,4160000,59.6,85.83,FALSE,FALSE
Academic,A,Male,Quiet Interested,Urban,55,4440000,58,86.09,FALSE,FALSE
Academic,A,Male,Uncertain,Rural,48,7160000,71,88.46,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,57,3750000,82.4,90.33,FALSE,FALSE
Academic,B,Male,Very Interested,Rural,53,7390000,94.3,92.39,FALSE,TRUE
Vocational,B,Male,Very Interested,Rural,47,5440000,67,81.16,TRUE,FALSE
Academic,A,Male,Very Interested,Rural,48,3770000,65.7,83.79,TRUE,FALSE
Vocational,A,Female,Uncertain,Urban,51,5850000,68.3,84.85,TRUE,TRUE
Vocational,A,Female,Uncertain,Urban,58,5680000,75.5,87.97,FALSE,FALSE
Vocational,B,Male,Uncertain,Rural,55,3550000,79.3,93.7,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,54,4230000,57.7,84.89,TRUE,FALSE
Academic,B,Female,Less Interested,Urban,56,4490000,60.4,84.63,TRUE,FALSE
Academic,A,Female,Very Interested,Rural,48,6420000,69.3,84.15,FALSE,FALSE
Academic,B,Male,Very Interested,Rural,45,5340000,40.5,83.78,TRUE,FALSE
Vocational,A,Male,Uncertain,Urban,55,5220000,63.5,83.22,FALSE,TRUE
Vocational,B,Male,Not Interested,Rural,52,4170000,90.4,84.21,TRUE,FALSE
Vocational,A,Male,Less Interested,Urban,59,5390000,63.3,86.49,FALSE,TRUE
Academic,B,Female,Less Interested,Urban,56,5990000,70.6,83.1,FALSE,FALSE
Academic,A,Female,Very Interested,Urban,52,6910000,81.5,86.83,FALSE,TRUE
Academic,B,Female,Uncertain,Rural,50,6590000,76,91.77,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,52,2790000,72.5,85.3,TRUE,FALSE
Vocational,A,Female,Less Interested,Urban,54,6520000,84.8,87.5,TRUE,TRUE
Vocational,A,Male,Uncertain,Rural,50,4710000,63,84.99,FALSE,FALSE
Vocational,B,Female,Uncertain,Rural,47,6520000,84.3,83.43,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,40,3910000,48.7,80.8,TRUE,FALSE
Vocational,A,Male,Very Interested,Rural,47,6220000,74.4,84.61,TRUE,FALSE
Academic,B,Male,Quiet Interested,Urban,55,3460000,64.6,85.1,FALSE,FALSE
Academic,B,Male,Very Interested,Urban,52,6730000,85.1,90.49,FALSE,TRUE
Academic,B,Female,Less Interested,Rural,50,8120000,71.6,90.32,TRUE,TRUE
Academic,B,Male,Less Interested,Urban,58,2140000,82.9,83.53,TRUE,FALSE
Vocational,A,Male,Very Interested,Urban,54,5450000,70.3,85.41,FALSE,TRUE
Vocational,B,Female,Very Interested,Rural,50,5970000,71.9,82.98,TRUE,FALSE
Academic,B,Female,Less Interested,Rural,50,7650000,97.3,86.88,TRUE,TRUE
Academic,A,Male,Very Interested,Rural,46,4150000,52.4,81.06,TRUE,FALSE
Academic,B,Female,Very Interested,Rural,51,5850000,95.9,92.43,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,48,4240000,68.4,86.52,TRUE,FALSE
Academic,A,Female,Uncertain,Rural,51,5840000,83.4,93.04,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,51,5720000,75.3,86.35,FALSE,TRUE
Vocational,B,Male,Very Interested,Urban,54,4480000,97,82.46,FALSE,TRUE
Academic,B,Female,Less Interested,Rural,49,7100000,81.5,84.05,TRUE,FALSE
Academic,B,Female,Very Interested,Urban,52,3500000,66.9,85.11,TRUE,FALSE
Vocational,B,Female,Uncertain,Rural,49,4750000,87,83.45,TRUE,FALSE
Vocational,B,Female,Not Interested,Rural,52,5810000,81.3,88.73,TRUE,FALSE
Academic,A,Male,Less Interested,Urban,55,3070000,68.7,83.3,FALSE,FALSE
Vocational,B,Male,Uncertain,Urban,57,4030000,77.8,83.34,TRUE,FALSE
Vocational,A,Male,Not Interested,Urban,51,5000000,63.8,81.24,FALSE,TRUE
Vocational,A,Male,Less Interested,Urban,58,4560000,77.7,83.87,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,53,6360000,85.3,88.35,FALSE,TRUE
Academic,B,Male,Very Interested,Urban,56,5910000,91.3,85.29,FALSE,TRUE
Vocational,B,Female,Uncertain,Rural,53,3950000,75.9,84.31,TRUE,FALSE
Vocational,B,Male,Uncertain,Rural,48,7250000,77.5,89.25,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,52,7540000,69.4,86.98,FALSE,TRUE
Academic,A,Male,Not Interested,Rural,41,3020000,50.6,77.18,TRUE,FALSE
Vocational,B,Female,Not Interested,Rural,52,4450000,71,84.79,TRUE,FALSE
Academic,B,Male,Very Interested,Rural,50,3180000,72.4,85.01,TRUE,FALSE
Vocational,B,Female,Not Interested,Rural,45,7490000,60,87.25,TRUE,TRUE
Vocational,A,Male,Very Interested,Urban,53,5540000,63.6,84.53,FALSE,FALSE
Academic,A,Female,Quiet Interested,Urban,54,4930000,96.9,86.97,FALSE,TRUE
Vocational,A,Male,Quiet Interested,Rural,46,7780000,114.8,91.5,TRUE,TRUE
Vocational,B,Male,Uncertain,Urban,53,3790000,80,90.82,TRUE,TRUE
Academic,B,Female,Very Interested,Rural,52,7420000,82.6,86.82,TRUE,TRUE
Academic,A,Female,Very Interested,Urban,54,5970000,74.3,85.68,FALSE,TRUE
Academic,B,Male,Uncertain,Urban,59,3610000,85.2,78.67,FALSE,TRUE
Academic,A,Female,Very Interested,Urban,52,4930000,66.4,90.18,FALSE,TRUE
Academic,B,Male,Very Interested,Urban,53,6640000,81,89.22,FALSE,TRUE
Academic,A,Male,Very Interested,Urban,57,6310000,92.8,88.96,FALSE,TRUE
Vocational,A,Male,Very Interested,Rural,55,6080000,94.9,89.96,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,56,3860000,68.6,82.24,FALSE,FALSE
Academic,B,Female,Not Interested,Rural,50,6050000,106.1,84.28,TRUE,TRUE
Academic,B,Female,Quiet Interested,Urban,51,3180000,63,83.62,TRUE,FALSE
Academic,A,Female,Quiet Interested,Urban,56,6700000,98.2,86.6,FALSE,TRUE
Vocational,B,Male,Quiet Interested,Urban,54,5040000,43.5,84.87,FALSE,FALSE
Academic,B,Male,Uncertain,Rural,50,8140000,78.3,89.24,TRUE,TRUE
Academic,B,Male,Uncertain,Rural,50,3300000,101.9,96.23,TRUE,TRUE
Academic,A,Male,Less Interested,Urban,53,2570000,100,91.43,FALSE,TRUE
Vocational,B,Male,Uncertain,Rural,52,3690000,84.7,82.67,TRUE,FALSE
Academic,B,Male,Uncertain,Rural,52,5920000,99.4,86,TRUE,TRUE
Academic,B,Female,Less Interested,Rural,54,7050000,69.6,84.15,FALSE,FALSE
Academic,B,Female,Very Interested,Rural,45,7580000,110.3,88.4,TRUE,TRUE
Academic,B,Female,Uncertain,Rural,53,6520000,95.4,94.34,TRUE,TRUE
Academic,B,Male,Very Interested,Urban,56,2900000,79.7,86.94,FALSE,FALSE
Academic,B,Female,Very Interested,Rural,52,8470000,83.7,88.09,FALSE,TRUE
Vocational,B,Female,Less Interested,Rural,52,6560000,89.9,88.76,TRUE,TRUE
Academic,B,Female,Uncertain,Rural,52,6610000,93.2,92,TRUE,TRUE
Academic,B,Male,Less Interested,Urban,54,5730000,70.4,84.12,TRUE,TRUE
Vocational,B,Female,Uncertain,Rural,46,5410000,89.9,84.05,TRUE,FALSE
Academic,A,Female,Less Interested,Urban,55,5210000,61.1,81.19,FALSE,FALSE
Academic,A,Female,Uncertain,Urban,54,5580000,80.7,90.49,FALSE,TRUE
Academic,B,Male,Very Interested,Rural,54,3700000,66.9,82.45,TRUE,FALSE
Vocational,A,Male,Uncertain,Urban,52,5280000,81.3,91.6,FALSE,TRUE
Vocational,B,Female,Not Interested,Rural,48,5830000,68.8,98,TRUE,TRUE
Academic,A,Female,Less Interested,Urban,55,5560000,90.5,89.42,FALSE,TRUE
Academic,A,Male,Very Interested,Urban,53,5470000,92.8,91.9,FALSE,TRUE
Vocational,A,Female,Very Interested,Rural,51,6660000,71.4,87.36,FALSE,TRUE
Academic,A,Male,Very Interested,Urban,55,6240000,71.9,87.55,FALSE,TRUE
Vocational,A,Male,Quiet Interested,Urban,55,5020000,45,87.09,FALSE,FALSE
Academic,A,Female,Less Interested,Urban,55,8160000,84.7,83.15,FALSE,TRUE
Academic,B,Male,Very Interested,Urban,52,4520000,79.2,89.44,FALSE,TRUE
Vocational,A,Female,Very Interested,Urban,53,5420000,79,87.37,FALSE,TRUE
Vocational,B,Female,Not Interested,Rural,54,3650000,71.6,85.13,TRUE,FALSE
Academic,A,Female,Very Interested,Urban,50,4340000,51.9,81.74,FALSE,FALSE
Academic,B,Female,Very Interested,Urban,55,6690000,99.3,91.51,FALSE,TRUE
Academic,B,Male,Uncertain,Rural,52,7120000,77.8,92.68,TRUE,TRUE
Academic,A,Male,Very Interested,Urban,53,5010000,49.8,85.81,FALSE,FALSE
Academic,A,Male,Less Interested,Urban,50,3410000,57.7,80.4,FALSE,FALSE
Academic,B,Male,Quiet Interested,Urban,52,3110000,67,83.69,FALSE,FALSE
Vocational,B,Male,Uncertain,Rural,49,5640000,92.5,85.66,TRUE,FALSE
Academic,B,Male,Uncertain,Rural,52,7350000,72.1,90.79,TRUE,TRUE
Vocational,A,Female,Very Interested,Rural,47,6700000,66.9,85.36,FALSE,FALSE
Academic,A,Male,Quiet Interested,Urban,59,4700000,95.6,87.63,FALSE,TRUE
Academic,A,Male,Uncertain,Urban,57,4460000,81.7,83.06,FALSE,TRUE
Academic,B,Male,Very Interested,Rural,50,5710000,73.4,84.68,TRUE,FALSE
Vocational,B,Female,Not Interested,Rural,52,5330000,76.5,94.93,TRUE,TRUE
Academic,B,Female,Quiet Interested,Urban,62,6110000,87.2,88.74,TRUE,TRUE
Vocational,A,Male,Uncertain,Urban,53,6180000,68.5,83.82,FALSE,FALSE
Vocational,B,Male,Quiet Interested,Rural,52,7580000,81.4,89.9,TRUE,TRUE
Academic,A,Female,Less Interested,Urban,52,4820000,71.2,83.54,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,55,4450000,78.7,84.99,FALSE,TRUE
Vocational,B,Female,Uncertain,Rural,45,4950000,87,82.35,TRUE,FALSE
Academic,A,Male,Not Interested,Urban,56,4940000,68.5,82.96,FALSE,TRUE
Academic,B,Male,Quiet Interested,Urban,58,1880000,79,83.47,FALSE,FALSE
Academic,B,Female,Very Interested,Urban,50,1940000,70.9,81.33,TRUE,FALSE
Academic,A,Female,Very Interested,Rural,49,3540000,53.9,79.83,TRUE,FALSE
Academic,B,Female,Less Interested,Urban,58,3160000,88,89.06,TRUE,FALSE
Vocational,A,Female,Very Interested,Urban,53,5700000,75.5,83.64,FALSE,TRUE
Academic,B,Male,Uncertain,Rural,52,6660000,77.6,90.29,TRUE,TRUE
Vocational,A,Male,Uncertain,Rural,50,5040000,60.6,84.67,FALSE,FALSE
Academic,A,Female,Uncertain,Urban,58,3180000,65.7,85.22,FALSE,FALSE
Academic,B,Female,Uncertain,Rural,51,5540000,105.9,94.04,TRUE,TRUE
Academic,B,Female,Less Interested,Urban,54,5460000,76.2,80.79,FALSE,FALSE
Vocational,A,Female,Very Interested,Urban,56,5400000,91.9,88.39,FALSE,TRUE
Vocational,B,Female,Less Interested,Rural,52,7530000,69.6,91.3,TRUE,TRUE
Vocational,A,Male,Very Interested,Urban,50,6840000,58.6,83.59,FALSE,FALSE
Academic,A,Female,Less Interested,Urban,52,4830000,85.7,86.99,FALSE,TRUE
Academic,A,Female,Less Interested,Urban,60,3460000,63,81.33,FALSE,FALSE
Vocational,B,Male,Very Interested,Rural,48,7120000,76,83.35,TRUE,FALSE
